Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Estonia,2019,2.7590361445783134,3.74,3.35,2616.81,6.73,36153.43,47971916545.3,13.44,1.18,29.7,97.5,78.65,1.8,1.63,16.94,90.23,7.59,7.47,12.95,30.8,80.62,5.2,899054696,94,38,56
Ethiopia,2015,2.8068181818181817,10.39,7.46,63.36,3.82,1750.67,179394752299.83,27.1,12.19,38.76,71.88,63.65,43.2,0.14,6.19,13.86,0.54,7.49,3.13,35,43.78,4.07,-397811097,21,10,11
Ethiopia,2016,1.1666666666666665,9.43,6.5,67.64,3.6,1864.49,196317925147.11,23.01,11.23,38.76,71.88,64.39,41.3,0.21,6.83,15.37,1.26,5.75,2.4,42.7,44.06,3.82,-172272142,21,10,11
Ethiopia,2017,2.8970588235294117,9.56,6.62,69.81,3.45,1987.97,215094143811.3,26.51,9.88,38.76,71.88,64.84,39.6,0.27,5.83,18.62,2.65,3.83,2.17,42.8,46.15,3.75,-158800311,21,10,11
Ethiopia,2018,2.571590909090909,6.82,4,71.28,3.31,2067.46,229755278555.78,24,5.9,38.76,71.88,65.41,38,0.12,13.65,20,2.42,2.84,1.56,42.7,47.06,4.01,-234425612,21,10,11
Ethiopia,2019,2.7814814814814812,8.36,5.52,75.11,3.24,2181.66,248972206952.34,20.92,5.49,38.76,71.88,65.84,36.6,0.04,9.42,22,1.26,3.81,2.73,42.8,47.98,3.78,-56725822,21,10,11
Finland,2015,0.39375,0.54,0.21,4097.82,9.65,45072.59,246976655331.33,12.44,0.41,41.5,97.5,81.48,2,2.87,10.18,86.42,2.46,6.89,34.61,27.1,80.1,2.57,2718416167,100,40,60
Finland,2016,3.8875,2.81,2.52,4212.09,9.38,46206.79,253920299689.41,12.31,0.4,41.5,97.5,81.43,2,2.72,10.05,87.7,2.69,7.29,31.31,27.1,80.1,2.55,3049163662,100,40,60
Finland,2017,2.5073170731707317,3.19,2.95,4339.1,9.13,47570.13,262026475788.42,11.86,0.43,42,97.5,81.63,1.9,2.73,9.66,87.47,2.69,7.07,27.97,27.4,79.98,2.52,3376630754,100,40,60
Finland,2018,2.2099009900990096,1.14,1.01,4490.18,9.04,48048.52,265012838732.94,11.75,0.53,42,97.5,81.73,1.9,2.76,9.02,88.89,2.6,7.33,27.1,27.3,80.04,2.55,3642219439,100,40,60
