Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Indonesia,2016,-0.02439024390243904,5.03,3.93,317.09,3.02,10519.3,2754479325709.95,21.22,2.61,17.12,64.38,69.8,22.4,0.25,8,25.45,3.37,7.97,4.16,39.3,64.66,4.71,8852853575,58,30,28
Indonesia,2017,0.13518518518518516,5.07,4.02,317.59,2.9,10941.92,2894125530220.37,16.12,3.1,19.82,64.38,69.94,21.6,0.24,8.45,32.34,2.99,7.98,3.94,38.8,66.87,5.22,9660278372,58,30,28
Indonesia,2018,0.8064516129032258,5.17,4.16,334.03,2.87,11397.43,3043876022674.53,16.56,4.36,19.82,64.38,70.34,20.8,0.23,8.21,39.9,2.88,7.7,3.93,38.4,68.18,4.32,8249915564,58,30,28
Indonesia,2019,0.6464285714285714,5.02,4.04,358.29,2.9,11857.79,3196656916889.19,17.35,3.38,17.39,64.38,70.52,20.1,0.27,8.09,47.69,3.01,8.06,4.17,37.6,69.58,4.45,8436145218,58,30,28
Iraq,2015,-0.5535309503051439,4.72,1.92,326.63,3.14,9371.21,353836526432.47,13,36.47,26.52,33.13,69.44,24.8,0.04,3.89,16.8,0.03,3.06,3.07,35,42.86,12.45,2018400716,29,16,13
Iraq,2016,-1.0361393323657475,13.79,11.02,330.97,3.49,10404.2,402621288208.15,14,31.9,26.52,45,68.99,24.1,0.04,3.89,37.67,0.3,5.18,2.28,39.3,44.14,8.38,4282552970,29,16,13
Iraq,2017,-1.6319494584837546,-1.82,-4.11,452.6,4.19,9976.85,395294585902.05,13.85,38,25.3,45,70.41,23.4,0.05,3.89,49.36,1.45,3.95,1.75,44.3,44.62,11.01,8867935316,29,16,13
Iraq,2018,-0.37714285714285717,2.63,0.18,448.39,4.24,9995.05,405706056270.42,13.77,44.54,25.23,45,71.51,22.7,0.04,7.03,43.3,0.11,2.05,2.58,38.4,44.65,8.84,9808179716,29,16,13
Iraq,2019,-0.23128342245989308,5.51,3.04,483.34,4.48,10299.32,428075838564.98,14,39.48,25.23,45,71.58,22.1,0.03,7.03,44.33,0.03,4.87,1.52,41.6,44.7,9.34,5272558729,29,16,13
Ireland,2015,1.0727272727272728,24.37,23.2,5077.48,7.32,71490.8,336146682031.35,12.94,0.02,16.27,95,81.45,3.2,1.18,28.34,83.49,6,8.99,42.48,31.8,79.8,1.18,18222003860,97,39,58
Ireland,2016,0.6782608695652174,2.01,0.86,5356.19,7.42,72106.8,342891983259.1,13.33,0.07,22.15,95,81.65,3.1,1.18,32.83,83.5,8.92,8.11,43.5,32.8,80.1,1.19,20627049481,97,39,58
Ireland,2017,1.2221238938053096,9.01,7.83,5582.93,7.06,77749.2,373770580497.35,13.33,0.13,22.15,97.5,82.16,3,1.26,29.03,84.11,7.87,7.5,42.45,31.4,80.1,1.17,19020295317,97,39,58
Ireland,2018,1.2923076923076922,8.53,7.19,5869.54,6.86,83340.39,405644021458.46,13.32,0.14,22.15,97.5,82.2,2.9,1.17,24.94,87,6.76,8.1,49.57,30.6,79.59,1.13,26486265695,97,39,58
Ireland,2019,1.8223529411764705,5.44,4.01,6010.07,6.68,86681.27,427714858466.09,13.61,0.08,22.15,97.5,82.7,2.9,1.23,25.98,87,8.8,9.71,53.05,30.8,79.58,1.14,36137088975,97,39,58
Israel,2015,1.3249488752556238,2.49,0.48,2645.22,7.1,37321.02,312753854239.32,15.49,0.23,26.67,80.63,82.05,3.2,4.26,22.9,77.35,14.33,11.46,43,39.7,73,14.49,10046500000,77,34,43
Israel,2016,1.324214659685864,4.52,2.49,2857.23,7.17,38251.3,326895583681.49,15.44,0.16,26.67,80.63,82.41,3.1,4.51,21.81,79.65,11.73,10.88,47.16,39,74.2,14.41,9524202000,77,34,43
Israel,2017,2.0681647940074908,4.28,2.27,2992.02,7.29,39121.3,340875586977.72,15.7,0.14,27.5,80.63,82.55,3,4.66,21.07,81.58,10.77,8.94,41.59,38.2,74.34,14.19,9188800000,77,34,43
Israel,2018,2.0109311740890687,4.07,2.08,3220.53,7.53,39936.77,354750320603.42,15.52,0.18,27.5,80.63,82.8,2.9,4.8,22.54,83.73,11.6,8.89,45.35,38.6,74.98,13.52,7046100000,77,34,43
Israel,2019,1.611800486618005,4.16,2.19,3326.25,7.46,40810.05,369494233444.03,15.74,0.1,23.33,80.63,82.8,2.8,5.14,23.09,86.79,9.99,8.78,47.66,38.6,76.68,13.13,3712000000,77,34,43
Italy,2015,1.8566523605150214,0.78,0.88,3264.64,8.86,40247.83,2444274082066.12,8.1,0.08,30.95,94.38,82.54,3,1.34,8.15,58.14,1.9,5.19,8.44,35.4,71.69,2.4,24124951312,90,36,54
Italy,2016,1.5906716417910447,1.29,1.47,3481.57,8.73,40837.74,2475889856374.81,7.77,0.05,30.95,94.38,83.24,2.9,1.37,8.29,61.32,1.86,5.18,8.54,35.2,71.83,2.72,25418619395,90,36,54
Italy,2017,1.2340350877192983,1.67,1.82,3616.67,8.68,41581.12,2517184209191.25,8.3,0.07,30.95,94.38,82.95,2.8,1.37,7.8,63.08,1.89,5.09,8.1,35.9,73.19,2.78,28803783986,90,36,54
Italy,2018,0.437007874015748,0.93,1.12,3855.1,8.68,42045.92,2540488576005.39,8.8,0.11,35.71,97.5,83.35,2.7,1.42,7.48,74.39,1.99,4.93,7.64,35.2,73.04,2.81,31185498578,90,36,54
Italy,2019,1.2497536945812808,0.48,1.65,3998.01,8.67,42739.05,2552764174037.99,8.45,0.09,35.71,97.5,83.5,2.6,1.46,7.76,67.85,1.97,5,7.33,34.6,72.85,2.71,31934825498,90,36,54
Japan,2015,2.273924877517692,1.56,1.67,4367.5,10.75,40402.58,5136824615194.47,8.37,0.03,9.47,78.75,83.79,2,3.24,18.02,91.06,8.52,12.79,2,32.7,77.53,2.52,58049621766,96,40,56
Japan,2016,2.1919369786839664,0.75,0.81,4303.92,10.66,40727.97,5175547373033.96,8.2,0.02,9.47,78.75,83.98,2,3.11,17.59,93.18,8.31,13.01,2.2,31.9,77.94,2.48,61125343477,96,40,56
Japan,2017,2.665131136516476,1.68,1.76,4398.02,10.66,41444.22,5262254961496.86,8.15,0.04,10.11,78.75,84.1,1.9,3.17,17.57,91.73,8.35,13.01,2.71,31.9,78.01,2.47,61239997008,96,40,56
Japan,2018,2.3879491431730235,0.58,0.71,4531.75,10.75,41739.2,5292990112343.87,8.13,0.03,10.11,78.75,84.21,1.9,3.22,17.27,88.75,8.11,11.94,2.52,32.5,78.04,2.6,57030465531,96,40,56
Japan,2019,2.929757607013925,-0.24,-0.1,4587.03,10.74,41697.41,5280268366098.9,8.18,0.09,10.11,78.75,84.36,1.8,3.2,17,92.73,8,12.25,3.56,31.2,78,2.66,59147613121,96,40,56
Jordan,2015,-2.7144385026737967,2.5,-6.53,706.16,7.46,9912.71,94113737256.59,11.34,1.4,12,31.88,75.01,15,0.22,2.58,54.22,1.78,4.4,0.7,36.5,56.74,12.8,151260703,33,11,22
Jordan,2016,1.6040650406504064,1.99,-2.82,676,7.16,9633.1,95990535352.49,12.15,1.12,15.38,31.88,75.22,14.6,0.7,3.38,56.15,3.18,4.79,0.68,36.6,57.02,15.61,137882740,33,11,22
Jordan,2017,1.547945205479452,2.47,-0.04,798.47,7.98,9629.1,98364955818.79,11.2,0.87,15.38,31.88,75.5,14.2,0.24,1.81,64.5,3.39,4.45,0.36,37.9,59.93,16.24,-433404225,33,11,22
Jordan,2018,2.16,1.92,-0.46,798.11,7.78,9584.51,100252649208.89,9.83,0.79,15.38,31.88,75.77,13.8,0.18,1.51,65.2,1.99,4.74,0.21,36.4,61.28,15.01,-33778167,33,11,22
Jordan,2019,1.622429906542056,1.93,-0.35,797.45,7.58,9551.17,102184890723.87,9.86,0.03,15.38,40.63,76.04,13.4,0.2,1.37,64.5,2.14,4.96,0.17,38.8,68.97,15.07,311267184,33,11,22
Kazakhstan,2015,2.374418604651163,1.2,-0.27,704.96,3.04,24290.42,426122084210.95,12.19,9.47,26.17,72.5,71.97,10.6,0.17,43.43,70.83,0.19,4.89,2.31,26.8,70.92,4.43,-1049954101,23,5,18
Kazakhstan,2016,1.9416666666666667,1.1,-0.33,813.48,3.42,24210.86,430809427136.85,13.84,11.49,27.1,69.38,72.41,9.8,0.14,32.1,74.59,0.16,5.2,2.04,27.2,74.85,4.34,-664027281,23,5,18
Kazakhstan,2017,1.7446428571428572,4.1,2.69,757.16,3.05,24862.97,448472613650.92,11.42,15.42,27.1,69.38,72.95,9.4,0.13,24.21,76.43,0.13,5.85,1.79,27.5,76.88,3.45,-791096247,23,5,18
Kazakhstan,2018,2.2715686274509803,4.1,2.74,735.6,2.82,25544.34,466859990810.03,13.88,21.57,27.1,69.38,73.15,9.1,0.12,23.47,78.9,0.11,5.99,1.67,27.8,78.04,4.43,-542316985,23,5,18
Kazakhstan,2019,2.896774193548387,4.5,3.16,765.49,2.79,26351.8,487868690396.88,14.11,19.03,27.1,69.38,73.18,9.1,0.12,29.72,81.88,0.12,5.63,1.7,27.5,79.56,5.04,-461243636,23,5,18
Kenya,2015,2.390485829959514,4.97,2.68,175.47,5.22,4163.92,195086070317.09,16.66,2.7,19.71,78.13,61.89,33.1,0.12,4.37,16.59,0.54,4.17,11.86,40.8,58.01,4.85,-871539264,52,22,30
Kenya,2016,2.0156626506024096,4.21,1.94,186.89,5.14,4244.86,203306055187.48,17.35,2.65,19.71,80.63,62.16,32.2,0.03,7.59,16.6,1.58,5.38,10.84,40,62.79,4.88,-46075310,52,22,30
Kenya,2017,0.14999999999999997,3.84,1.6,167.55,4.14,4312.91,211108856550.07,17.71,2.32,21.78,80.63,62.48,31.6,0.04,3.35,17.83,0.38,4.79,10.18,38.8,65.41,4.93,-99580875,52,22,30
Kenya,2018,1.5499999999999998,5.65,3.52,185.41,4.31,4464.81,223032171628.64,19.04,1.26,21.78,80.63,62.68,30.6,0.03,3.61,19.5,0.34,3.82,10.41,38.6,70.98,4.95,-59801276,52,22,30
Kenya,2019,1.431578947368421,5.11,3.05,207.62,4.59,4601.21,234438391189.46,18.52,1.24,21.78,80.63,62.94,29.7,0.03,4.59,22.67,0.42,3.81,11.23,40.8,73.22,4.6,-82701365,52,22,30
Kuwait,2015,1.0945945945945945,0.59,-3.19,1990.74,4.21,53808.13,210322134913.32,9.51,37.86,1.54,29.38,79.56,7.8,0.1,0.13,82,0.15,8.23,44.71,31.3,60.66,9.2,-883227755,37,14,23
Kuwait,2016,-0.605,2.93,-0.62,2114.07,4.73,53476.12,216475883430.82,10.52,32.98,2,29.38,79.7,7.7,0.08,0.15,85.6,0.14,6.53,46.19,32.4,59.97,10.96,-926543669,37,14,23
Kuwait,2017,2.1382716049382715,-4.71,-6.49,2366.48,4.65,50007.3,206275309887.73,11.14,37.44,3.08,29.38,79.78,7.6,0.08,0.2,98,0.26,8.11,43.28,27.5,61.79,10.91,-1089156606,37,14,23
Kuwait,2018,2.3574468085106384,2.43,-2.13,2636.89,5.1,48943.01,211296012291.51,11.75,45.74,3.08,29.38,79.72,7.6,0.06,4.12,99.6,0.2,7.17,40.21,27.8,62.56,10.32,-896492711,37,14,23
Kuwait,2019,1.180851063829787,-0.55,-3.33,2861.19,5.5,47314.8,210129744326.84,12.83,41.03,4.62,26.25,79.69,7.6,0.19,0.9,99.54,0.14,7.39,54.42,26.6,67.4,10.37,-982322894,37,14,23
Latvia,2015,2.776271186440678,3.89,4.74,1405.4,5.65,26628.35,52658290346.93,14.13,0.97,18,100,74.48,4.3,0.62,18.92,79.2,11.36,10,8.25,34.2,79.13,2.77,75767222,88,37,51
Latvia,2016,2.6812227074235806,2.37,3.31,1631.07,6.14,27509.34,53905562377.42,12.89,0.97,18,100,74.58,4,0.44,17.24,79.84,10.47,9.97,11.49,34.3,80.6,4.01,68806699,88,37,51
Latvia,2017,2.7537037037037035,3.31,4.23,1703.6,5.97,28673.56,55691171159.27,11.97,1.17,16,100,74.63,3.8,0.51,17.72,80.11,9.23,9.25,12.52,35.6,79.99,4.37,164838294,88,37,51
Latvia,2018,2.2775956284153005,3.99,4.81,1899.7,6.19,30051.4,57914281683.92,11.15,0.98,31,100,74.78,3.6,0.64,20.55,83.58,8.44,8.24,14.61,35.1,80.32,5.42,293869563,88,37,51
Latvia,2019,2.6010309278350516,2.57,3.29,2098.45,6.58,31038.68,59402507231.89,11.76,1.13,30,100,75.39,3.4,0.64,17.22,86.14,8.94,8.58,15.16,34.5,80.28,5.36,68410851,88,37,51
Lebanon,2015,1.5392307692307692,0.46,-1.49,1117.19,7.41,16611.72,106297400802.52,6.3,0,3.13,52.5,79.23,8.1,0.12,2.19,74,0.82,2.25,4.04,36.5,54.71,16.82,-1245060310,43,14,29
Lebanon,2016,0.6755102040816326,1.55,3.83,1225.22,7.91,17248.19,107949846419.03,7.15,0,3.13,52.5,79.51,7.9,0.21,2.82,76.11,0.83,2.3,4.32,36.6,54.47,18.02,-1358085033,43,14,29
Lebanon,2017,0.07542857142857141,0.78,3.25,1245.02,7.79,17808.08,108794029331.9,7.15,0,3.13,52.5,79.65,7.7,0.24,7.61,78.18,0.91,2.34,4.22,36.2,54.35,15.06,-1383795956,43,14,29
Lebanon,2018,1.320675105485232,-1.7,0.91,1385.16,8.67,17970.94,106942164772.56,8.05,0,4.69,52.5,79.73,7.6,0.18,2.35,80.9,0.68,3.07,4.8,36.4,54.42,15.64,-1381766457,43,14,29
Lebanon,2019,0.40857142857142853,-7.16,-4.44,1288.81,8.65,17172.2,99288049817.8,8.14,0,4.69,52.5,79.24,7.4,0.05,3.89,80.9,0.83,2.34,4.16,35.9,54.33,15.21,-1628856794,43,14,29
Liberia,2015,2.208670520231214,-0.02,-2.03,133.6,10.64,1581.06,7292346348.39,11.02,19.45,10.96,63.75,59.15,64.6,0.04,4.45,10,0.27,3.4,6.32,35.3,39.96,1.29,-113926590,60,27,33
Liberia,2016,2.036,-1.55,-3.52,135.06,9.85,1525.46,7178953380.43,11.02,20.11,10.96,78.75,60.42,63.2,0.04,7.03,15.7,0.95,4.9,10.35,35.3,39.98,1.27,-350787218,60,27,33
Liberia,2017,1.4679012345679012,2.46,0.52,139.9,9.09,1533.41,7355207879.35,8.34,21.32,9.86,78.75,60.55,62.1,0.04,7.03,16.3,0.21,4.69,10.18,38,43.58,1.23,-97627066,60,27,33
Liberia,2018,0.5866666666666667,1.16,-0.76,138.61,9.04,1521.73,7440349935.94,8.15,13.09,12.33,81.25,60.85,60.9,0.04,4.45,18.9,0.38,4.79,10.41,35.3,43.54,1.27,-18961453,60,27,33
Liberia,2019,1.255,-2.47,-4.34,126.02,8.47,1455.64,7256774357.91,13.72,14.24,12.33,81.25,61.1,59.6,0.04,4.45,22,0.19,4.75,10.84,40.8,43.23,1.25,-39491108,60,27,33
Libya,2015,-0.48333333333333334,-0.84,-2.36,324.62,6.16,19108.94,118327070778.13,13.77,28.01,15.96,50,71.7,11.4,0.05,3.89,43.3,0,3.02,3.52,26,32.61,21.92,150792850,10,1,9
Libya,2016,-1.530188679245283,-1.49,-2.9,322.55,5.24,18554.48,116562883827.05,16.86,22.07,15.96,50,71.76,10.9,0.17,1.06,74.88,0,3.57,19.88,26.8,32.48,13.35,553806766,10,1,9
Libya,2017,0.5791666666666666,32.49,30.5,322.55,5.48,24212.91,154436265462.74,18.94,38.11,15.96,50,72.48,10.6,0.18,0.73,70.4,0,2.98,19.91,27.5,32.51,13.43,609771901,10,1,9
Libya,2018,0.3833333333333333,7.94,6.28,322.55,5.48,25734.17,166700617401.44,16.86,43.79,15.96,50,72.79,10.2,0.15,1.41,70.4,0,8.31,19.9,26.8,32.74,10.98,709042111,10,1,9
Libya,2019,1.2916666666666667,-11.2,-12.43,324.62,4.97,22535.45,148037325396.09,14.09,44.97,15.96,50,72.46,9.9,0.05,3.89,44.33,0,3.02,12.42,26.8,32.69,9.34,363245005,10,1,9
Lithuania,2015,2.3389312977099235,2.02,2.99,1861.01,6.49,30748.2,89320742945.65,12.29,0.36,23.4,93.75,74.32,4,1.04,12.78,71.38,3.95,5.1,3.99,37.4,78.99,3.31,706263574,89,38,51
Lithuania,2016,2.236125654450262,2.52,3.83,2038.2,6.64,31925.8,91570579072.68,12.03,0.34,21.28,93.75,74.67,3.8,0.84,12.64,74.38,3.86,5.5,4.38,38.4,79.22,4.44,934848084,89,38,51
Lithuania,2017,2.2680451127819548,4.28,5.75,2178.09,6.48,33761.87,95492177900.25,11.77,0.41,21.28,93.75,75.48,3.6,0.9,12.58,77.62,4.08,5.76,5.86,37.3,80.63,5.28,1132683275,89,38,51
Lithuania,2018,2.340084388185654,3.99,4.99,2443.35,6.53,35446.71,99305476902.73,11.74,0.38,21.28,93.75,75.68,3.3,0.94,12.1,79.72,3.48,4.89,5.74,35.7,80.96,5.93,1192931643,89,38,51
Lithuania,2019,2.3793650793650793,4.63,4.9,2796.82,7.01,37184.45,103898457632.23,11.75,0.33,21.28,93.75,76.28,3.1,0.99,12.03,81.58,3.44,5.08,5.72,35.3,81.62,5.91,695090043,89,38,51
Malaysia,2015,1.2344,5.09,3.53,946.98,3.82,24151.26,750351436891.77,19.81,6.71,10.36,50,75.09,7,1.28,48.47,71.06,30.05,24.01,7.6,41.1,78.61,6.09,4686245649,53,22,31
Malaysia,2016,1.0153846153846153,4.45,2.93,941.55,3.69,24859.8,783740435547.32,20.94,5.09,10.36,50,75.29,7,1.42,49.05,78.79,30.53,24.7,7.24,36.9,78.27,6.1,5954320634,53,22,31
Malaysia,2017,-1.1363636363636365,5.81,4.33,987.58,3.7,25935.14,829297091479.3,21.32,6.31,10.36,50,75.48,6.9,1.42,51.12,80.14,31.02,25.22,7.22,41.1,78.77,5.02,4588412382,53,22,31
Malaysia,2018,-0.8923076923076924,4.84,3.47,1058.13,3.75,26835.81,869460670911.98,19.64,8.07,13.9,50,75.64,6.9,1.04,53.18,81.2,33.14,25.05,7.04,41.2,81.34,4.21,6433128388,53,22,31
Malaysia,2019,-2.216,4.41,3.12,1132.99,3.83,27674.4,907831624100.44,17.69,6.57,14.41,50,75.76,6.7,1.42,51.59,84.19,32.5,24.15,7.29,37.6,81.47,3.8,6573355584,53,22,31
Mexico,2015,-0.90859375,3.29,2.09,1047.35,5.72,19542.89,2348076207005.29,19.02,2.2,42.37,88.75,74.68,13.9,0.43,19.57,57.43,16.02,16.35,0.7,46.7,71.64,1.7,110848383640,60,27,33
Mexico,2016,1.1701724137931033,2.63,1.47,1073.13,5.55,19830.96,2409843112983.73,17.94,1.98,42.4,88.75,74.41,13.5,0.39,20.64,59.54,16,16.43,0.44,47.7,72.37,1.81,112291995360,60,27,33
Mexico,2017,0.8898345153664302,2.11,1.02,1076.31,5.46,20032.41,2460766209923.96,17.58,2.49,42.6,88.75,74.14,13.1,0.33,21.17,63.85,15.94,15.05,0.29,46.7,72.54,1.7,120640704840,60,27,33
Mexico,2018,2.6079646017699116,2.19,1.23,1089.61,5.38,20278.22,2514779898431.96,16.58,2.97,48.2,88.75,74.02,12.6,0.31,20.89,65.77,15.05,15.16,0.24,46.7,72.31,1.86,129503601920,60,27,33
Mexico,2019,2.1331658291457285,-0.2,-1.05,1110.94,5.43,20064.5,2509774285066.56,17.94,2.33,48.2,88.75,74.2,12.2,0.28,20.41,70.07,14.83,15.83,0.23,46.7,72.36,2.02,152698207280,60,27,33
Morocco,2015,0.4142857142857142,4.34,3.02,361.25,5.07,7687.69,270393633307.69,4.65,2.86,16.96,73.13,72.92,20.3,0.12,3.7,57.08,2.21,4.02,9.79,40.6,67.4,10.42,-1488549796,37,13,24
Morocco,2016,1.8384615384615384,0.52,-0.72,378.43,5.24,7632.19,271802885742.3,14.55,3.14,20.51,73.13,73.28,19.2,0.03,3.74,58.27,2.25,3.94,9.39,36.6,69.24,10.44,-1858004577,37,13,24
Morocco,2017,0.9,5.06,3.79,388.71,5.23,7921.62,285550398889.94,13.66,3.55,20.51,73.13,73.66,18.3,0.18,3.86,61.76,2.14,3.95,8.61,37.9,69.21,10.59,-2074732533,37,13,24
Morocco,2018,1.617391304347826,3.07,1.9,413.17,5.33,8072.09,294304349946.66,14.55,2.94,20.51,75.63,73.99,17.5,0.12,4.02,64.8,2.1,3.94,8.94,36.4,71.67,10.49,-2555404083,37,13,24
Morocco,2019,2.6865384615384613,2.89,1.8,424.5,5.31,8217.6,302812614423.12,15.47,0.34,20.51,75.63,74.27,16.7,0.12,4.85,84.12,2.43,4.03,8.2,35.9,73.38,10.47,-2740828800,37,13,24
Myanmar,2015,1.9848484848484849,3.28,2.45,224.89,5.48,3748.29,192976988566.37,8.73,6.97,12.69,58.75,65.56,40.7,0.09,0.47,10.9,0.04,3.46,9.36,38.1,42.12,17.77,-142422264,9,0,9
Myanmar,2016,1.9349112426035502,10.51,9.64,206.13,5.11,4109.56,213254587482.14,9.68,6.46,9.93,58.75,65.69,39.4,0.09,7.53,16,1.64,3.08,5.79,38.1,42.67,17.45,-78707101,9,0,9
Myanmar,2017,0.9767857142857143,5.75,4.95,214.63,5.08,4312.95,225516863812.2,9.93,7.64,10.16,58.75,65.84,38.1,0.03,6.03,23.62,0.19,3.75,2.96,30.7,42.97,17.54,-58159723,9,0,9
Myanmar,2018,-0.3363636363636364,6.4,5.64,222.52,4.9,4556.28,239961167803.76,10.39,7.12,10.16,58.75,66.47,37,0.06,3.62,28.7,0.55,2.89,1.41,35.1,43.48,11.22,-17329786,9,0,9
Myanmar,2019,0.7636363636363636,6.75,6,226.83,4.68,4829.54,256159650802.76,10.56,5.58,11.32,58.75,66.61,35.8,0.09,2.76,34.9,0.59,3.08,2.24,38.1,46.83,10.81,15892923,9,0,9
Netherlands,2015,1.6870967741935483,1.96,1.51,5203.8,10.32,52974.12,897377449761.46,12.21,0.43,37.33,97.5,81.51,3.5,2.15,24.05,91.72,10.65,13.08,8.68,28.2,75.52,2.59,-19912695697,97,39,58
Netherlands,2016,0.5707317073170731,2.19,1.65,5398.93,10.29,53847.83,917045394441.44,12.81,0.26,37.33,97.5,81.56,3.5,2.15,23.99,90.41,10.74,13.27,9.87,28.2,75.57,2.72,-17988322028,97,39,58
Netherlands,2017,0.525,2.91,2.3,5602.59,10.11,55088.63,943739691874.96,12.42,0.31,36,97.5,81.76,3.5,2.18,22.9,93.2,10.49,13.55,9.32,28.5,76.08,2.78,-16358518054,97,39,58
Netherlands,2018,-0.44871794871794873,2.36,1.76,6009.47,10.03,56060.91,966020584715.91,12.91,0.37,36,97.5,81.81,3.5,2.14,22.49,91.89,10.18,13.19,9.11,28.1,76.1,2.93,-15010837598,97,39,58
Netherlands,2019,0.5254545454545454,1.96,1.29,6248.15,10.13,56784.04,984911971364.29,12.51,0.25,31.33,97.5,82.11,3.5,2.18,23.03,93.29,10.27,13.54,9.24,29.2,76.1,3.21,-15703763450,97,39,58
New Zealand,2015,3.2390243902439027,3.74,1.65,3475.54,9.28,41020.31,189079028788.09,16.37,1.3,31.4,91.88,81.46,4.6,1.23,10.11,85.2,1.08,7.84,4.33,33.3,87.13,2.97,-235543884,99,40,59
New Zealand,2016,2.390322580645161,3.77,1.46,3734.82,9.24,41620.35,196202482341.06,16.83,1.03,31.4,94.38,81.61,4.4,1.35,10.88,86.5,1.03,7.52,4.54,33.1,87.17,3.09,-268636294,99,40,59
New Zealand,2017,0.377027027027027,3.58,1.44,3875.54,9.02,42218.54,203223153144.15,16.64,1.51,38.33,94.38,81.66,4.3,1.35,9.25,87.7,1.02,7.57,4.19,32.6,87.02,3.2,-500907757,99,40,59
New Zealand,2018,1.8694736842105262,3.36,1.52,4095.71,9.21,42862.07,210049865029.68,16.08,1.45,38.33,94.38,81.86,4.2,1.35,9.81,89,1.04,7.29,4.24,33.7,87,3.35,-545721348,99,40,59
New Zealand,2019,0.8307692307692307,2.19,0.58,4439.35,9.74,43110.37,214655160463.61,13.48,1.52,40.83,94.38,81.71,4.1,1.41,9.87,90.2,1.03,7.42,5.04,30.2,86.76,3.59,-464519332,99,40,59
Nigeria,2015,1.8015105740181268,2.65,0.08,194.37,3.58,5429.1,998931446583.03,9.26,5.07,5.56,63.13,51.84,79.3,0.25,11.91,24.5,0,4.7,2.44,35.9,48.37,3.78,-3140968898,43,20,23
Nigeria,2016,1.308171206225681,-1.62,-4.05,190.95,3.65,5209.07,982780034192.26,6.65,4.79,5.56,63.13,52.04,78.3,0.21,2.35,25.67,0.03,3.93,3.14,35.3,48.47,4.44,920932489,43,20,23
Nigeria,2017,0.9336,0.81,-1.71,194.81,3.75,5120.01,990700126987.35,6.12,8.57,5.56,63.13,52.31,77.1,0.24,2.33,28,0,3.27,5.77,35.1,52.03,3.59,2968228144,43,20,23
Nigeria,2018,1.4024896265560165,1.92,-0.59,163.21,3.09,5089.78,1009748886411.97,5.94,11.48,5.56,63.13,52.55,75.5,0.25,1.93,31.9,0,3.08,4.79,35.1,53.4,3.95,1038330043,43,20,23
Nigeria,2019,1.1564705882352941,2.21,-0.26,162.31,3.03,5076.37,1032048476445.27,5.85,9.36,3.38,63.13,52.91,73.9,0.03,1.48,33.6,0,3.72,4.28,35.9,56.88,3.67,-531999385,43,20,23
Norway,2015,1.171875,1.97,0.96,6142.44,10.13,62987.52,326817467916.11,15.61,5.33,39.64,96.88,82.3,2.2,1.94,22.26,96.81,1.08,6.62,5.27,27.5,81.83,3.11,-179451792,100,40,60
Norway,2016,0.914074074074074,1.07,0.19,6271.01,10.59,63104.08,330319509832.65,15.84,4.12,39.64,96.88,82.41,2.1,2.04,20.95,97.3,1.11,6.88,5.67,28.5,82.36,3.21,-981160863,100,40,60
Norway,2017,1.637878787878788,2.32,1.5,6630.84,10.32,64050.76,337993790660.97,15.94,5.9,41.42,96.88,82.61,2.1,2.1,21.6,96.36,1.08,6.5,5.64,27,82.66,3.46,-1029353940,100,40,60
Norway,2018,1.5094117647058822,1.12,0.45,7009.25,10.02,64341.26,341775361449.66,15.92,8.06,41.42,96.88,82.76,2,2.05,21.12,96.49,0.92,6.67,5.75,27.6,82.92,3.59,-813072784,100,40,60
